KEGG_pathway,Biochemical_class,Enzyme_class,PDB_structure,Mode_of_action,Outcome
"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,,Modulator,1.0
"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,,Agonist,1.0
"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,,Antagonist,1.0
"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,,Inhibitor,1.0
"cGMP-PKG signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,,Modulator (allosteric modulator),1.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, Viral carcinogenesis",GPCR rhodopsin,,,Antagonist,0.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, Viral carcinogenesis",GPCR rhodopsin,,,Modulator,0.0
"cGMP-PKG signaling pathway, cAMP signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Insulin secretion, Thyroid hormone synthesis, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Endocrine and other factor-regulated calcium reabsorption, Proximal tubule bicarbonate reclamation, Salivary secretion, Gastric acid secretion, Pancreatic secretion, Carbohydrate digestion and absorption, Protein digestion and absorption, Bile secretion, Mineral absorption",Acid anhydrides hydrolase,,,Modulator,1.0
"cGMP-PKG signaling pathway, cAMP signaling pathway, Cardiac muscle contraction, Adrenergic signaling in cardiomyocytes, Insulin secretion, Thyroid hormone synthesis, Thyroid hormone signaling pathway, Aldosterone-regulated sodium reabsorption, Endocrine and other factor-regulated calcium reabsorption, Proximal tubule bicarbonate reclamation, Salivary secretion, Gastric acid secretion, Pancreatic secretion, Carbohydrate digestion and absorption, Protein digestion and absorption, Bile secretion, Mineral absorption",Acid anhydrides hydrolase,,,Inhibitor,1.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, Viral carcinogenesis",GPCR rhodopsin,,,Modulator,1.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, Viral carcinogenesis",GPCR rhodopsin,,,Antagonist,1.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, Viral carcinogenesis",GPCR rhodopsin,,,Inhibitor,1.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, Viral carcinogenesis",GPCR rhodopsin,,,CAR-T-Cell-Therapy(Dual specific),1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,,Antagonist,1.0
Gastric acid secretion,Inward rectifier potassium channel,,,Blocker,1.0
Gastric acid secretion,Inward rectifier potassium channel,,,Binder,1.0
"Fat digestion and absorption, Vitamin digestion and absorption",mRNA target,,,.,1.0
"Folate biosynthesis, Metabolic pathways",Phosphoric monoester hydrolase,Hydrolases,,Modulator,1.0
"Folate biosynthesis, Metabolic pathways",Phosphoric monoester hydrolase,Hydrolases,,Inhibitor,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Serotonergic synapse",GPCR rhodopsin,,,Antagonist,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Serotonergic synapse",GPCR rhodopsin,,,Agonist,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Serotonergic synapse",GPCR rhodopsin,,,Inhibitor,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction, Serotonergic synapse",GPCR rhodopsin,,,Modulator,1.0
Ubiquinone and other terpenoid-quinone biosynthesis,Short-chain dehydrogenases reductase,Oxidoreductases,,Inhibitor,1.0
"Neuroactive ligand-receptor interaction, GnRH signaling pathway",GPCR rhodopsin,,,Modulator,1.0
"Neuroactive ligand-receptor interaction, GnRH signaling pathway",GPCR rhodopsin,,,Inhibitor,1.0
"Neuroactive ligand-receptor interaction, GnRH signaling pathway",GPCR rhodopsin,,,Antagonist,1.0
"Neuroactive ligand-receptor interaction, GnRH signaling pathway",GPCR rhodopsin,,,Modulator (allosteric modulator),1.0
"Neuroactive ligand-receptor interaction, GnRH signaling pathway",GPCR rhodopsin,,,.,1.0
"Neuroactive ligand-receptor interaction, GnRH signaling pathway",GPCR rhodopsin,,,Agonist,1.0
"Terpenoid backbone biosynthesis, Biosynthesis of antibiotics",Alkyl aryl transferase,,,Inhibitor,1.0
"Terpenoid backbone biosynthesis, Biosynthesis of antibiotics",Alkyl aryl transferase,,,Modulator,1.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,,Modulator,1.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,,Agonist,1.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,,Antagonist,1.0
Neuroactive ligand-receptor interaction,GPCR rhodopsin,,,Inhibitor,1.0
"Sphingolipid metabolism, Metabolic pathways",Hexosyltransferase,Transferases,,Inhibitor,1.0
"Sphingolipid metabolism, Metabolic pathways",Hexosyltransferase,Transferases,,Modulator,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Serotonergic synapse",GPCR rhodopsin,,,Antagonist,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Serotonergic synapse",GPCR rhodopsin,,,Agonist,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Serotonergic synapse",GPCR rhodopsin,,,Inhibitor,1.0
"Cytokine-cytokine receptor interaction, Jak-STAT signaling pathway",Cytokine receptor,,,Modulator,1.0
"Cytokine-cytokine receptor interaction, Jak-STAT signaling pathway",Cytokine receptor,,,Agonist,1.0
"Cytokine-cytokine receptor interaction, Jak-STAT signaling pathway",Cytokine receptor,,,Antagonist,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,,Modulator,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,,Agonist,1.0
"cAMP signaling pathway, Neuroactive ligand-receptor interaction",GPCR rhodopsin,,,Inhibitor,1.0
"Glycerolipid metabolism, Retinol metabolism, Metabolic pathways, Fat digestion and absorption",Acyltransferase,Transferases,,Inhibitor,1.0
"Glycerolipid metabolism, Retinol metabolism, Metabolic pathways, Fat digestion and absorption",Acyltransferase,Transferases,,Modulator,1.0
Thyroid hormone signaling pathway,,Oxidoreductases,,Inhibitor,1.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, Viral carcinogenesis",GPCR rhodopsin,,,Agonist,0.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, Viral carcinogenesis",GPCR rhodopsin,,,Binder,0.0
"Cytokine-cytokine receptor interaction, Chemokine signaling pathway, Viral carcinogenesis",GPCR rhodopsin,,,Inhibitor,0.0
