,Cancer,Cardiovascular diseases,Cerebrovascular diseases,Respiratory Diseases,Metabolic and endocrine diseases,Total
2001,207619,391727,78691,48535,24363,828541
2002,210043,393778,77519,53646,26355,841686
2003,209255,396622,75114,58014,27191,853946
2004,209328,368472,68498,52500,27041,818271
2005,211396,367361,67117,57742,28271,830227
2006,211523,358953,65133,54888,26624,821627
2007,211765,358684,62085,57956,26377,827155
2008,216010,356729,63127,59049,27331,844439
2009,216128,356462,62727,63304,28137,854544
2010,218889,352689,61550,60515,29233,858768
2011,221591,342233,59066,60019,29822,852328
2012,221611,349217,58925,60454,30605,869582
2013,223842,354493,58556,64918,31197,893825
2014,223758,338056,55232,58604,29270,868356
2015,226337,356616,56982,68300,32474,925200
2016,230725,338687,55956,64414,31249,910902
2017,227595,344524,55404,68408,33908,932263
2018,230031,345274,55287,71719,34640,954874
2019,231318,331211,53119,67021,33626,939520
2020,231271,338001,53308,61348,36628,985572
2021,229068,340619,53082,57316,37866,1023687
